ticker,polarity,subjectivity,body,id
PLUG,-0.6999999999999998,0.6666666666666666,"Asked for a bunch of EV recommendations...then bought in too early by like 2 weeks. 

Picked XL, CCIV, HYLN

Did not get QS, WKHS, RIDE

Also have PLUG and BLNK which should breakeven sometime in 20twenty-never.

A literal monkey throwing darts at a board would have a better pick rate. Try to tell me this world ain't rigged and we're not just inmates on a prison planet.",gymb5qj
BLNK,-0.6999999999999998,0.6666666666666666,"Asked for a bunch of EV recommendations...then bought in too early by like 2 weeks. 

Picked XL, CCIV, HYLN

Did not get QS, WKHS, RIDE

Also have PLUG and BLNK which should breakeven sometime in 20twenty-never.

A literal monkey throwing darts at a board would have a better pick rate. Try to tell me this world ain't rigged and we're not just inmates on a prison planet.",gymb5qj
EV,-0.6999999999999998,0.6666666666666666,"Asked for a bunch of EV recommendations...then bought in too early by like 2 weeks. 

Picked XL, CCIV, HYLN

Did not get QS, WKHS, RIDE

Also have PLUG and BLNK which should breakeven sometime in 20twenty-never.

A literal monkey throwing darts at a board would have a better pick rate. Try to tell me this world ain't rigged and we're not just inmates on a prison planet.",gymb5qj
HYLN,-0.6999999999999998,0.6666666666666666,"Asked for a bunch of EV recommendations...then bought in too early by like 2 weeks. 

Picked XL, CCIV, HYLN

Did not get QS, WKHS, RIDE

Also have PLUG and BLNK which should breakeven sometime in 20twenty-never.

A literal monkey throwing darts at a board would have a better pick rate. Try to tell me this world ain't rigged and we're not just inmates on a prison planet.",gymb5qj
PLTR,0.0,0.0,Everything down but PLTR 3 straight green day???,gymbes9
PLTR,0.0,0.0,How soon will PLTR reach 25?,gymdl6c
TSLA,0.0,0.0,Sold my TSLA put for a loss today fuck me,gymmmb4
PLUG,0.0,0.0,Puts on PLUG with this dude's background on zoom,gymnff2
PLUG,0.0,0.0,Butt PLUG power!!!!,gymnx47
UWMC,0.0,0.1,"I trust my UWMC shares and 7/16 calls

However, the overall market is making me nervous for my Friday calls big time",gymr5a8
ATH,0.0,0.0,Just start buying PLUG already. Won’t take long before it passes ATH again.,gymruh8
PLUG,0.0,0.0,Just start buying PLUG already. Won’t take long before it passes ATH again.,gymruh8
VIAC,0.0,0.0,Bill hwang gonna make VIAC rise up singing crunk ain’t dead🤪🤪,gymxik1
JPM,0.0,0.0,"Imagine making more on JPM year to date than on NIO, TSLA, or PLUG. Oh wait, I don't have to imagine.

If you need me I'll be playing Quake 3.",gymzhaj
AAPL,0.3333333333333333,0.575,Selling AAPL cuz you think it’s overpriced is the same kind of retarded as buying AMC cuz it’s still kinda cheap.,gyn2xfd
AMC,0.3333333333333333,0.575,Selling AAPL cuz you think it’s overpriced is the same kind of retarded as buying AMC cuz it’s still kinda cheap.,gyn2xfd
